	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
i_diff	41.511	-26.924	-11.103	-5.614	-4.333	-12.264	-6.242	46.126	25.133
	(2.265)	(4.936)	(5.396)	(3.859)	(7.931)	(4.006)	(8.939)	(2.309)	(4.630)
pi_r_yoy	1.869	6.944	3.190	3.279	0.477	2.565	5.080	1.671	9.230
	(0.220)	(0.857)	(0.732)	(0.587)	(0.904)	(0.387)	(1.189)	(0.285)	(0.547)
Constant	0.021	-0.042	-0.018	-0.010	-0.006	0.005	-0.084	0.071	-0.012
	(0.004)	(0.014)	(0.013)	(0.011)	(0.014)	(0.008)	(0.029)	(0.007)	(0.009)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	8.498	8.107	4.357	5.584	0.528	6.630	4.272	5.865	16.88
CI-low	1.438	5.265	1.755	2.128	-1.294	1.807	2.749	1.112	8.158
CI-high	2.300	8.623	4.625	4.430	2.248	3.323	7.410	2.229	10.30
p-val	0	0	1.62e-05	3.96e-08	0.598	9.14e-11	2.34e-05	9.29e-09	0
Standard errors in parentheses									
