	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	30.605	20.166	25.280	3.841	15.840	3.548	11.520	24.999	5.525
	(1.118)	(4.380)	(3.095)	(0.981)	(3.621)	(0.689)	(3.855)	(3.924)	(1.723)
Constant	0.000	-0.000	-0.001	-0.001	-0.001	-0.000	-0.000	0.000	0.001
	(0.001)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.003)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	27.37	4.604	8.168	3.915	4.375	5.146	2.989	6.370	3.207
CI-low	28.41	11.58	19.21	1.918	8.744	2.197	3.965	17.31	2.148
CI-high	32.80	28.75	31.35	5.764	22.94	4.899	19.07	32.69	8.902
p-val	0	5.34e-06	0	0.000104	1.50e-05	3.90e-07	0.00295	5.12e-10	0.00145
Standard errors in parentheses									
