	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	30.605	20.166	25.280	3.841	15.840	3.548	11.520	24.999	5.525
	(1.100)	(4.455)	(2.578)	(1.013)	(4.144)	(0.752)	(3.672)	(2.438)	(1.844)
Constant	0.000	-0.000	-0.001	-0.001	-0.001	-0.000	-0.000	0.000	0.001
	(0.000)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.002)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	27.83	4.527	9.806	3.790	3.823	4.720	3.137	10.26	2.996
CI-low	28.45	11.43	20.23	1.855	7.718	2.074	4.323	20.22	1.911
CI-high	32.76	28.90	30.33	5.827	23.96	5.021	18.72	29.78	9.139
p-val	0	7.58e-06	0	0.000170	0.000150	3.11e-06	0.00181	0	0.00291
Standard errors in parentheses									
