	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
pi_r_yoy_shock	2.730	2.487	0.994	-0.199	-1.002	0.052	0.046	1.106	9.886
	(0.209)	(0.498)	(0.412)	(0.406)	(0.388)	(0.224)	(0.338)	(0.206)	(0.242)
Constant	-0.000	-0.000	-0.001	-0.001	-0.001	-0.000	-0.001	0.001	0.001
	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	13.09	4.995	2.415	-0.492	-2.584	0.230	0.137	5.380	40.85
CI-low	2.321	1.511	0.187	-0.995	-1.763	-0.387	-0.617	0.703	9.412
CI-high	3.139	3.463	1.801	0.596	-0.242	0.490	0.709	1.509	10.36
p-val	0	8.30e-07	0.0161	0.623	0.0101	0.818	0.891	1.26e-07	0
Standard errors in parentheses									
