	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	29.021	17.683	24.900	3.893	15.808	3.561	11.631	24.959	3.340
	(0.565)	(3.942)	(3.059)	(0.963)	(3.512)	(0.694)	(3.845)	(3.930)	(1.133)
pi_r_yoy_shock	2.420	2.082	0.825	-0.340	-0.994	0.096	-0.094	1.068	9.855
	(0.112)	(0.393)	(0.398)	(0.332)	(0.411)	(0.197)	(0.324)	(0.166)	(0.264)
Constant	0.000	0.000	-0.000	-0.001	-0.001	-0.000	-0.000	0.000	0.001
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	51.38	4.486	8.140	4.040	4.501	5.131	3.025	6.351	2.948
CI-low	27.91	9.957	18.90	2.004	8.923	2.200	4.094	17.26	1.120
CI-high	30.13	25.41	30.90	5.781	22.69	4.921	19.17	32.66	5.560
p-val	0	9.13e-06	0	6.22e-05	8.54e-06	4.22e-07	0.00262	5.75e-10	0.00338
Standard errors in parentheses									
