	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock	s_diff_shock
									
i_diff_shock	29.021	17.683	24.900	3.893	15.808	3.561	11.631	24.959	3.340
	(0.565)	(3.942)	(3.059)	(0.963)	(3.512)	(0.694)	(3.845)	(3.930)	(1.133)
pi_r_yoy_shock	2.420	2.082	0.825	-0.340	-0.994	0.096	-0.094	1.068	9.855
	(0.112)	(0.393)	(0.398)	(0.332)	(0.411)	(0.197)	(0.324)	(0.166)	(0.264)
Constant	0.000	0.000	-0.000	-0.001	-0.001	-0.000	-0.000	0.000	0.001
	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.001)	(0.001)
									
Observations	476	476	476	476	476	476	476	409	397
t-test	21.62	5.302	2.069	-1.025	-2.420	0.488	-0.289	6.416	37.26
CI-low	2.201	1.312	0.0435	-0.990	-1.799	-0.290	-0.729	0.742	9.336
CI-high	2.640	2.852	1.606	0.310	-0.189	0.482	0.542	1.394	10.37
p-val	0	1.76e-07	0.0391	0.306	0.0159	0.626	0.773	3.90e-10	0
Standard errors in parentheses									
