	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-100.120	-22.543	-40.381	-26.692	-14.112	-87.232	-16.290	-79.913	-168.964
	(9.477)	(1.448)	(0.499)	(2.590)	(0.486)	(8.422)	(1.812)	(3.062)	(31.223)
Constant	-0.051	0.042	0.033	-0.014	-0.015	-0.148	0.034	-0.120	-0.129
	(0.017)	(0.003)	(0.001)	(0.005)	(0.001)	(0.014)	(0.006)	(0.007)	(0.034)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-10.56	-15.57	-80.98	-10.31	-29.04	-10.36	-8.990	-26.09	-5.412
CI-low	-118.7	-25.38	-41.36	-31.77	-15.06	-103.7	-19.84	-85.92	-230.2
CI-high	-81.55	-19.71	-39.40	-21.62	-13.16	-70.73	-12.74	-73.91	-107.8
p-val	0	0	0	0	0	0	0	0	1.08e-07
Standard errors in parentheses									
