	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-100.120	-22.543	-40.381	-26.692	-14.112	-87.232	-16.290	-79.913	-168.964
	(14.158)	(2.154)	(0.685)	(3.902)	(0.712)	(13.030)	(2.969)	(3.690)	(39.246)
Constant	-0.051	0.042	0.033	-0.014	-0.015	-0.148	0.034	-0.120	-0.129
	(0.030)	(0.005)	(0.001)	(0.008)	(0.001)	(0.022)	(0.010)	(0.011)	(0.055)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-7.072	-10.47	-58.97	-6.840	-19.81	-6.694	-5.487	-21.66	-4.305
CI-low	-127.9	-26.76	-41.72	-34.34	-15.51	-112.8	-22.11	-87.15	-245.9
CI-high	-72.37	-18.32	-39.04	-19.04	-12.72	-61.69	-10.47	-72.68	-92.04
p-val	0	0	0	0	0	6.12e-11	6.67e-08	0	2.11e-05
Standard errors in parentheses									
