	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
pi_r_yoy	-4.618	-3.615	-4.344	-4.667	-0.498	-12.071	-2.713	-4.115	-23.257
	(0.935)	(0.351)	(0.419)	(0.211)	(0.208)	(0.212)	(0.249)	(1.027)	(1.826)
Constant	0.002	0.051	0.042	0.010	-0.002	-0.147	0.057	-0.006	0.082
	(0.019)	(0.006)	(0.007)	(0.003)	(0.002)	(0.005)	(0.007)	(0.019)	(0.042)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-4.940	-10.29	-10.38	-22.10	-2.390	-57.02	-10.90	-4.005	-12.74
CI-low	-6.450	-4.304	-5.165	-5.081	-0.906	-12.49	-3.201	-6.129	-26.84
CI-high	-2.786	-2.927	-3.524	-4.253	-0.0896	-11.66	-2.225	-2.101	-19.68
p-val	1.08e-06	0	0	0	0.0172	0	0	7.36e-05	0
Standard errors in parentheses									
