	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-93.183	-17.330	-36.706	-14.987	-14.454	-16.013	-9.142	-79.236	-114.262
	(9.295)	(0.262)	(0.232)	(0.742)	(0.473)	(2.381)	(1.885)	(3.305)	(20.743)
pi_r_yoy	-2.536	-2.113	-0.932	-3.705	0.158	-10.779	-2.015	-0.259	-14.606
	(0.908)	(0.045)	(0.037)	(0.111)	(0.053)	(0.228)	(0.255)	(0.293)	(2.388)
Constant	-0.047	0.062	0.039	0.000	-0.015	-0.159	0.061	-0.119	-0.036
	(0.017)	(0.001)	(0.000)	(0.002)	(0.001)	(0.005)	(0.006)	(0.007)	(0.041)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-10.03	-66.05	-158.2	-20.19	-30.58	-6.727	-4.851	-23.98	-5.508
CI-low	-111.4	-17.84	-37.16	-16.44	-15.38	-20.68	-12.84	-85.71	-154.9
CI-high	-74.97	-16.82	-36.25	-13.53	-13.53	-11.35	-5.449	-72.76	-73.61
p-val	0	0	0	0	0	5.01e-11	1.67e-06	0	6.54e-08
Standard errors in parentheses									
