	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP	s_IP
									
i_diff	-93.183	-17.330	-36.706	-14.987	-14.454	-16.013	-9.142	-79.236	-114.262
	(9.295)	(0.262)	(0.232)	(0.742)	(0.473)	(2.381)	(1.885)	(3.305)	(20.743)
pi_r_yoy	-2.536	-2.113	-0.932	-3.705	0.158	-10.779	-2.015	-0.259	-14.606
	(0.908)	(0.045)	(0.037)	(0.111)	(0.053)	(0.228)	(0.255)	(0.293)	(2.388)
Constant	-0.047	0.062	0.039	0.000	-0.015	-0.159	0.061	-0.119	-0.036
	(0.017)	(0.001)	(0.000)	(0.002)	(0.001)	(0.005)	(0.006)	(0.007)	(0.041)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-2.793	-46.67	-24.97	-33.51	2.982	-47.22	-7.907	-0.883	-6.115
CI-low	-4.316	-2.201	-1.006	-3.922	0.0541	-11.23	-2.514	-0.834	-19.29
CI-high	-0.756	-2.024	-0.859	-3.488	0.262	-10.33	-1.515	0.316	-9.925
p-val	0.00544	0	0	0	0.00301	0	0	0.378	2.32e-09
Standard errors in parentheses									
