	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-53.498	-32.333	-38.909	-21.947	-17.412	-82.550	-4.509	-29.421	-109.265
	(7.082)	(4.664)	(5.067)	(3.669)	(6.786)	(6.510)	(6.295)	(3.652)	(17.714)
Constant	-0.028	0.065	0.035	-0.011	-0.022	-0.146	0.019	-0.044	-0.082
	(0.013)	(0.013)	(0.011)	(0.012)	(0.013)	(0.011)	(0.018)	(0.013)	(0.025)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-7.554	-6.932	-7.679	-5.981	-2.566	-12.68	-0.716	-8.056	-6.168
CI-low	-67.38	-41.48	-48.84	-29.14	-30.71	-95.31	-16.85	-36.58	-144
CI-high	-39.62	-23.19	-28.98	-14.76	-4.112	-69.79	7.829	-22.26	-74.54
p-val	0	0	0	4.36e-09	0.0106	0	0.474	0	1.71e-09
Standard errors in parentheses									
