	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-53.498	-32.333	-38.909	-21.947	-17.412	-82.550	-4.509	-29.421	-109.265
	(10.909)	(7.042)	(7.824)	(5.007)	(10.124)	(9.256)	(10.382)	(5.455)	(22.368)
Constant	-0.028	0.065	0.035	-0.011	-0.022	-0.146	0.019	-0.044	-0.082
	(0.022)	(0.021)	(0.019)	(0.019)	(0.021)	(0.016)	(0.030)	(0.022)	(0.042)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-4.904	-4.592	-4.973	-4.383	-1.720	-8.918	-0.434	-5.394	-4.885
CI-low	-74.88	-46.13	-54.24	-31.76	-37.26	-100.7	-24.86	-40.11	-153.1
CI-high	-32.12	-18.53	-23.57	-12.13	2.432	-64.41	15.84	-18.73	-65.42
p-val	1.29e-06	5.64e-06	9.24e-07	1.44e-05	0.0861	0	0.664	1.17e-07	1.50e-06
Standard errors in parentheses									
