	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
pi_r_yoy	-1.822	0.994	-2.186	-1.748	-0.218	-10.495	1.890	-0.200	-12.124
	(0.676)	(1.101)	(0.855)	(0.625)	(0.844)	(0.199)	(0.918)	(0.683)	(1.414)
Constant	0.001	-0.007	0.025	0.004	-0.004	-0.134	-0.030	-0.001	0.044
	(0.013)	(0.021)	(0.015)	(0.012)	(0.010)	(0.006)	(0.023)	(0.013)	(0.032)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-2.694	0.902	-2.557	-2.797	-0.258	-52.79	2.059	-0.293	-8.573
CI-low	-3.147	-1.165	-3.862	-2.973	-1.871	-10.88	0.0907	-1.539	-14.90
CI-high	-0.496	3.153	-0.510	-0.523	1.436	-10.11	3.690	1.139	-9.353
p-val	0.00731	0.367	0.0109	0.00537	0.797	0	0.0401	0.770	0
Standard errors in parentheses									
