	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-51.672	-44.254	-47.809	-20.601	-18.787	-28.278	-15.384	-33.110	-89.130
	(7.072)	(5.148)	(5.278)	(4.513)	(7.470)	(1.964)	(7.062)	(4.695)	(16.157)
pi_r_yoy	-0.667	4.831	2.258	-0.426	0.635	-8.214	3.065	1.411	-5.376
	(0.693)	(0.893)	(0.718)	(0.687)	(0.852)	(0.184)	(0.935)	(0.546)	(1.847)
Constant	-0.026	0.019	0.021	-0.010	-0.021	-0.154	-0.022	-0.048	-0.048
	(0.013)	(0.014)	(0.012)	(0.012)	(0.013)	(0.003)	(0.023)	(0.013)	(0.031)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-7.307	-8.597	-9.058	-4.565	-2.515	-14.40	-2.178	-7.052	-5.517
CI-low	-65.53	-54.34	-58.15	-29.45	-33.43	-32.13	-29.23	-42.31	-120.8
CI-high	-37.81	-34.16	-37.46	-11.76	-4.146	-24.43	-1.542	-23.91	-57.46
p-val	0	0	0	6.37e-06	0.0122	0	0.0299	0	6.26e-08
Standard errors in parentheses									
