	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T	s_T
									
i_diff	-51.672	-44.254	-47.809	-20.601	-18.787	-28.278	-15.384	-33.110	-89.130
	(7.072)	(5.148)	(5.278)	(4.513)	(7.470)	(1.964)	(7.062)	(4.695)	(16.157)
pi_r_yoy	-0.667	4.831	2.258	-0.426	0.635	-8.214	3.065	1.411	-5.376
	(0.693)	(0.893)	(0.718)	(0.687)	(0.852)	(0.184)	(0.935)	(0.546)	(1.847)
Constant	-0.026	0.019	0.021	-0.010	-0.021	-0.154	-0.022	-0.048	-0.048
	(0.013)	(0.014)	(0.012)	(0.012)	(0.013)	(0.003)	(0.023)	(0.013)	(0.031)
									
Observations	477	477	477	477	477	477	477	410	398
t-test	-0.963	5.407	3.145	-0.621	0.745	-44.60	3.278	2.586	-2.911
CI-low	-2.026	3.080	0.850	-1.773	-1.036	-8.575	1.233	0.342	-8.996
CI-high	0.691	6.582	3.665	0.920	2.305	-7.853	4.898	2.481	-1.757
p-val	0.336	1.02e-07	0.00177	0.535	0.457	0	0.00112	0.0101	0.00380
Standard errors in parentheses									
