"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,21.93,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,21.95,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,21.87,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,22.33,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-05","May-1961","IDX","Index","0","Units",,,22.44,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-06","Jun-1961","IDX","Index","0","Units",,,22.81,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-07","Jul-1961","IDX","Index","0","Units",,,23.04,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-08","Aug-1961","IDX","Index","0","Units",,,22.91,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-09","Sep-1961","IDX","Index","0","Units",,,23.46,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-10","Oct-1961","IDX","Index","0","Units",,,23.66,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-11","Nov-1961","IDX","Index","0","Units",,,23.76,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1961-12","Dec-1961","IDX","Index","0","Units",,,23.91,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-01","Jan-1962","IDX","Index","0","Units",,,24.01,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-02","Feb-1962","IDX","Index","0","Units",,,24.24,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-03","Mar-1962","IDX","Index","0","Units",,,24.57,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-04","Apr-1962","IDX","Index","0","Units",,,24.66,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-05","May-1962","IDX","Index","0","Units",,,25.07,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,25.37,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,25.67,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,25.15,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,25.75,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,25.58,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,25.6,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,25.58,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,25.6,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,25.81,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-03","Mar-1963","IDX","Index","0","Units",,,26.1,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-04","Apr-1963","IDX","Index","0","Units",,,26.14,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-05","May-1963","IDX","Index","0","Units",,,26.5,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-06","Jun-1963","IDX","Index","0","Units",,,26.86,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-07","Jul-1963","IDX","Index","0","Units",,,26.34,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-08","Aug-1963","IDX","Index","0","Units",,,26.35,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-09","Sep-1963","IDX","Index","0","Units",,,27.44,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-10","Oct-1963","IDX","Index","0","Units",,,27.42,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-11","Nov-1963","IDX","Index","0","Units",,,27.89,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1963-12","Dec-1963","IDX","Index","0","Units",,,28.18,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-01","Jan-1964","IDX","Index","0","Units",,,28.4,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-02","Feb-1964","IDX","Index","0","Units",,,28.88,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-03","Mar-1964","IDX","Index","0","Units",,,28.71,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-04","Apr-1964","IDX","Index","0","Units",,,28.91,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-05","May-1964","IDX","Index","0","Units",,,29.24,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-06","Jun-1964","IDX","Index","0","Units",,,29.27,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-07","Jul-1964","IDX","Index","0","Units",,,29.06,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-08","Aug-1964","IDX","Index","0","Units",,,29.31,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-09","Sep-1964","IDX","Index","0","Units",,,29.96,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-10","Oct-1964","IDX","Index","0","Units",,,29.91,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-11","Nov-1964","IDX","Index","0","Units",,,30.44,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1964-12","Dec-1964","IDX","Index","0","Units",,,30.44,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-01","Jan-1965","IDX","Index","0","Units",,,30.88,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-02","Feb-1965","IDX","Index","0","Units",,,30.71,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-03","Mar-1965","IDX","Index","0","Units",,,31.35,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-04","Apr-1965","IDX","Index","0","Units",,,31.32,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-05","May-1965","IDX","Index","0","Units",,,31.52,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-06","Jun-1965","IDX","Index","0","Units",,,31.57,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-07","Jul-1965","IDX","Index","0","Units",,,32.4,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-08","Aug-1965","IDX","Index","0","Units",,,31.67,,
"CAN","Canada","201","Index of industrial production","202112","December 2021","M","Monthly","1965-09","Sep-1965","IDX","Index","0","Units",,,32.36,,
